rating,yourName,yourReview,expectedResult
5,Đạt,Sản phẩm của cửa hàng rất tuyệt vời!,Thank you for your review. It has been submitted to the webmaster for approval.
5,An,Sản phẩm của cửa hàng rất tuyệt vời!,Warning: Review Name must be between 3 and 25 characters!
5,Đạt,Tuyệt vời!,Warning: Review Text must be between 25 and 1000 characters!
0,Đạt,Sản phẩm của cửa hàng rất tuyệt vời!,Warning: Please select a review rating!
5,"",Sản phẩm của cửa hàng rất tuyệt vời!,Warning: Review Name must be between 3 and 25 characters!
5,Đạt,"",Warning: Review Text must be between 25 and 1000 characters!
5,Hà,Sản phẩm của công ty ABC#$ rất tuyệt vời,Warning: Review Name must be between 3 and 25 characters!
5,Đạt,Sản phẩm của công ty ABC#$ rất tuyệt vời,No error
5,Đạt2,Sản phẩm của công ty ABC#$ rất tuyệt vời,No error
5,ABC123xyz789DEFghi456JKL,Sản phẩm của công ty ABC#$ rất tuyệt vời,No error
5,ABC123xyz789DEFghi456JKLM,Sản phẩm của công ty ABC#$ rất tuyệt vời,No error
5,ABC123xyz789DEFghi456JKLMN,Sản phẩm của công ty ABC#$ rất tuyệt vời,Warning: Review Name must be between 3 and 25 characters!
5,Đạt,ABC#$ thật sự rất tốt!!!,Review Text must be between 25 and 1000 characters!
5,Đạt,ABCD#$ thật sự rất tốt!!!,No error
5,Đạt,ABCDE#$ thật sự rất tốt!!!,No error
